place_description_problem;service_description_problem;place_id;service_id;service_name;place_name;place_description;service_description
horaire;;5a58c0c7c1797fe45e377314;6181a6da8ac6b179ffb9ff0c;Toilettes;CAARUD Yucca;"<ul><li>Le CAARUD Yucca vise à accueillir et accompagner les usagers de drogues dans une démarche de <strong>Réduction Des Risques </strong>(RDR) liée à leur consommation de produits psychoactifs et leur situation sanitaire et sociale.</li><li>L'accueil collectif est ouvert lundi, mardi, jeudi et vendredi de 9h30 à 12h45 pour une collation, déjeuner, douche et machine à laver sur inscription.</li><li>Les mercredis matin et après-midi sont dédiés pour des ateliers pour les femmes&nbsp;</li><li>Le CAARUD porte aussi le dispositif TAPAJ : Travail alternatif payé à la journée : dispositif de réinsertion socio-professionnel des jeunes entre 18 et 25 ans</li><li>L'équipe du CAARUD effectue également des maraudes les après-midi ainsi que des interventions auprès de partenaires.</li></ul>";
horaire;;5a58c0c7c1797fe45e377314;6181a6da8ac6b179ffb9ff0d;Ordinateur;CAARUD Yucca;"<ul><li>Le CAARUD Yucca vise à accueillir et accompagner les usagers de drogues dans une démarche de <strong>Réduction Des Risques </strong>(RDR) liée à leur consommation de produits psychoactifs et leur situation sanitaire et sociale.</li><li>L'accueil collectif est ouvert lundi, mardi, jeudi et vendredi de 9h30 à 12h45 pour une collation, déjeuner, douche et machine à laver sur inscription.</li><li>Les mercredis matin et après-midi sont dédiés pour des ateliers pour les femmes&nbsp;</li><li>Le CAARUD porte aussi le dispositif TAPAJ : Travail alternatif payé à la journée : dispositif de réinsertion socio-professionnel des jeunes entre 18 et 25 ans</li><li>L'équipe du CAARUD effectue également des maraudes les après-midi ainsi que des interventions auprès de partenaires.</li></ul>";Point internet pour les usagers
horaire;;5a58c0c7c1797fe45e377314;6181a6da8ac6b179ffb9ff0e;Accueil de jour;CAARUD Yucca;"<ul><li>Le CAARUD Yucca vise à accueillir et accompagner les usagers de drogues dans une démarche de <strong>Réduction Des Risques </strong>(RDR) liée à leur consommation de produits psychoactifs et leur situation sanitaire et sociale.</li><li>L'accueil collectif est ouvert lundi, mardi, jeudi et vendredi de 9h30 à 12h45 pour une collation, déjeuner, douche et machine à laver sur inscription.</li><li>Les mercredis matin et après-midi sont dédiés pour des ateliers pour les femmes&nbsp;</li><li>Le CAARUD porte aussi le dispositif TAPAJ : Travail alternatif payé à la journée : dispositif de réinsertion socio-professionnel des jeunes entre 18 et 25 ans</li><li>L'équipe du CAARUD effectue également des maraudes les après-midi ainsi que des interventions auprès de partenaires.</li></ul>";
horaire;;5a58c0c7c1797fe45e377314;6181a6da8ac6b179ffb9ff0f;Coffre-fort numérique;CAARUD Yucca;"<ul><li>Le CAARUD Yucca vise à accueillir et accompagner les usagers de drogues dans une démarche de <strong>Réduction Des Risques </strong>(RDR) liée à leur consommation de produits psychoactifs et leur situation sanitaire et sociale.</li><li>L'accueil collectif est ouvert lundi, mardi, jeudi et vendredi de 9h30 à 12h45 pour une collation, déjeuner, douche et machine à laver sur inscription.</li><li>Les mercredis matin et après-midi sont dédiés pour des ateliers pour les femmes&nbsp;</li><li>Le CAARUD porte aussi le dispositif TAPAJ : Travail alternatif payé à la journée : dispositif de réinsertion socio-professionnel des jeunes entre 18 et 25 ans</li><li>L'équipe du CAARUD effectue également des maraudes les après-midi ainsi que des interventions auprès de partenaires.</li></ul>";"Cette structure est Relais Reconnect : il est possible d'y cr&#233;er un compte personnel et s&#233;curis&#233; sur le cloud solidaire, pour stocker une copie de tous ses documents administratifs n&#233;cessaires aux d&#233;marches d'acc&#232;s aux droits."
horaire;;5a58c0c7c1797fe45e377314;6181a6da8ac6b179ffb9ff10;Activités diverses;CAARUD Yucca;"<ul><li>Le CAARUD Yucca vise à accueillir et accompagner les usagers de drogues dans une démarche de <strong>Réduction Des Risques </strong>(RDR) liée à leur consommation de produits psychoactifs et leur situation sanitaire et sociale.</li><li>L'accueil collectif est ouvert lundi, mardi, jeudi et vendredi de 9h30 à 12h45 pour une collation, déjeuner, douche et machine à laver sur inscription.</li><li>Les mercredis matin et après-midi sont dédiés pour des ateliers pour les femmes&nbsp;</li><li>Le CAARUD porte aussi le dispositif TAPAJ : Travail alternatif payé à la journée : dispositif de réinsertion socio-professionnel des jeunes entre 18 et 25 ans</li><li>L'équipe du CAARUD effectue également des maraudes les après-midi ainsi que des interventions auprès de partenaires.</li></ul>";
téléphone;;5ac61ba495f2dd33a777d005;6181a7668ac6b179ffba0db4;Douche;Le Pôle Social;"<p>Le Pôle Social est un espace solidaire où les habitants d'Epinay-sur-Seine en difficulté ou démunis peuvent trouver aide et informations.</p><p>Il regroupe notamment une l'épicerie sociale et solidaire <a target=""_blank"" rel=""noopener noreferrer"" href=""https://soliguide.fr/fr/fiche/le-ptit-marche-44778"">Le P'tit Marché</a>, un Point Hygiène et différentes permanences.</p><p>Le <a target=""_blank"" rel=""noopener noreferrer"" href=""https://soliguide.fr/fiche/6271"">centre distribution des Restos du Coeur </a>et le <a target=""_blank"" rel=""noopener noreferrer"" href=""https://soliguide.fr/fiche/secours-catholique-epinay-sur-seine-3417"">Secours Catholique </a>y sont également présents.</p><p>Des conseils et une écoute pour les personnes en situation d'addiction (alcool, drogues, cyberdépendance, jeux...) et leurs proches sont aussi organisées par l'association EDVO grâce à son ""point écoute"". Pour prendre un rendez-vous, contacter l'association au 01 34 28 64 50.</p>";"Acc&#232;s direct possible dans l'attente d'un mot de liaison ou d'une prise de contact avec un r&#233;f&#233;rent"
téléphone;;5ac61ba495f2dd33a777d005;6181a7668ac6b179ffba0db5;Laverie;Le Pôle Social;"<p>Le Pôle Social est un espace solidaire où les habitants d'Epinay-sur-Seine en difficulté ou démunis peuvent trouver aide et informations.</p><p>Il regroupe notamment une l'épicerie sociale et solidaire <a target=""_blank"" rel=""noopener noreferrer"" href=""https://soliguide.fr/fr/fiche/le-ptit-marche-44778"">Le P'tit Marché</a>, un Point Hygiène et différentes permanences.</p><p>Le <a target=""_blank"" rel=""noopener noreferrer"" href=""https://soliguide.fr/fiche/6271"">centre distribution des Restos du Coeur </a>et le <a target=""_blank"" rel=""noopener noreferrer"" href=""https://soliguide.fr/fiche/secours-catholique-epinay-sur-seine-3417"">Secours Catholique </a>y sont également présents.</p><p>Des conseils et une écoute pour les personnes en situation d'addiction (alcool, drogues, cyberdépendance, jeux...) et leurs proches sont aussi organisées par l'association EDVO grâce à son ""point écoute"". Pour prendre un rendez-vous, contacter l'association au 01 34 28 64 50.</p>";"Lave-linge et s&#232;che-linge"
téléphone;;5ac61ba495f2dd33a777d005;6181a7668ac6b179ffba0db6;Écrivain public;Le Pôle Social;"<p>Le Pôle Social est un espace solidaire où les habitants d'Epinay-sur-Seine en difficulté ou démunis peuvent trouver aide et informations.</p><p>Il regroupe notamment une l'épicerie sociale et solidaire <a target=""_blank"" rel=""noopener noreferrer"" href=""https://soliguide.fr/fr/fiche/le-ptit-marche-44778"">Le P'tit Marché</a>, un Point Hygiène et différentes permanences.</p><p>Le <a target=""_blank"" rel=""noopener noreferrer"" href=""https://soliguide.fr/fiche/6271"">centre distribution des Restos du Coeur </a>et le <a target=""_blank"" rel=""noopener noreferrer"" href=""https://soliguide.fr/fiche/secours-catholique-epinay-sur-seine-3417"">Secours Catholique </a>y sont également présents.</p><p>Des conseils et une écoute pour les personnes en situation d'addiction (alcool, drogues, cyberdépendance, jeux...) et leurs proches sont aussi organisées par l'association EDVO grâce à son ""point écoute"". Pour prendre un rendez-vous, contacter l'association au 01 34 28 64 50.</p>";"Sans RDV, l'&#233;crivain public re&#231;oit par ordre d'arriv&#233;e : il est recommand&#233; de venir t&#244;t."
téléphone;horaire;5ac61ba495f2dd33a777d005;6181a7668ac6b179ffba0db7;Permanence juridique;Le Pôle Social;"<p>Le Pôle Social est un espace solidaire où les habitants d'Epinay-sur-Seine en difficulté ou démunis peuvent trouver aide et informations.</p><p>Il regroupe notamment une l'épicerie sociale et solidaire <a target=""_blank"" rel=""noopener noreferrer"" href=""https://soliguide.fr/fr/fiche/le-ptit-marche-44778"">Le P'tit Marché</a>, un Point Hygiène et différentes permanences.</p><p>Le <a target=""_blank"" rel=""noopener noreferrer"" href=""https://soliguide.fr/fiche/6271"">centre distribution des Restos du Coeur </a>et le <a target=""_blank"" rel=""noopener noreferrer"" href=""https://soliguide.fr/fiche/secours-catholique-epinay-sur-seine-3417"">Secours Catholique </a>y sont également présents.</p><p>Des conseils et une écoute pour les personnes en situation d'addiction (alcool, drogues, cyberdépendance, jeux...) et leurs proches sont aussi organisées par l'association EDVO grâce à son ""point écoute"". Pour prendre un rendez-vous, contacter l'association au 01 34 28 64 50.</p>";"<p>Par l'association Juris Secours, le 1er jeudi de chaque mois de 14 h &#224; 18h.</p>"
téléphone;;5ac61ba495f2dd33a777d005;6181a7668ac6b179ffba0db8;Conseil administratif;Le Pôle Social;"<p>Le Pôle Social est un espace solidaire où les habitants d'Epinay-sur-Seine en difficulté ou démunis peuvent trouver aide et informations.</p><p>Il regroupe notamment une l'épicerie sociale et solidaire <a target=""_blank"" rel=""noopener noreferrer"" href=""https://soliguide.fr/fr/fiche/le-ptit-marche-44778"">Le P'tit Marché</a>, un Point Hygiène et différentes permanences.</p><p>Le <a target=""_blank"" rel=""noopener noreferrer"" href=""https://soliguide.fr/fiche/6271"">centre distribution des Restos du Coeur </a>et le <a target=""_blank"" rel=""noopener noreferrer"" href=""https://soliguide.fr/fiche/secours-catholique-epinay-sur-seine-3417"">Secours Catholique </a>y sont également présents.</p><p>Des conseils et une écoute pour les personnes en situation d'addiction (alcool, drogues, cyberdépendance, jeux...) et leurs proches sont aussi organisées par l'association EDVO grâce à son ""point écoute"". Pour prendre un rendez-vous, contacter l'association au 01 34 28 64 50.</p>";"Permanence surendettement. Par l'association Cresus, le 1er mardi et le 3&#232;me mardi de chaque mois sur RDV."
